GEN_TPS_1	GEN_TPS_2	DispatchGen
N-Commercial_PV	4	0.0
N-Commercial_PV	5	0.0
N-Commercial_PV	6	0.0
N-Commercial_PV	7	0.0
N-Central_PV-1	1	0.0
N-Central_PV-1	2	0.0
N-Central_PV-1	3	0.0
N-Central_PV-1	4	0.0
N-Central_PV-1	5	0.0
N-Central_PV-1	6	0.0
N-Central_PV-1	7	0.0
N-Central_PV-2	1	0.0
N-Central_PV-2	2	0.0
N-Central_PV-2	3	0.0
N-Central_PV-2	4	0.0
N-Central_PV-2	5	0.0
N-Central_PV-2	6	0.0
N-Central_PV-2	7	0.0
N-Wind-1	1	0.0
N-Wind-1	2	0.0
N-Wind-1	3	0.0
N-Wind-1	4	0.0
N-Wind-1	5	0.0
N-Wind-1	6	0.0
N-Wind-1	7	3.1808
N-Wind-2	1	0.0
N-Wind-2	2	0.0
N-Wind-2	3	0.0
N-Wind-2	4	0.0
N-Wind-2	5	0.0
N-Wind-2	6	0.0
N-Wind-2	7	0.86478
C-Coal_IGCC	1	0.0
C-Coal_IGCC	2	0.0
C-Coal_IGCC	3	0.0
C-Coal_IGCC	4	0.0
C-Coal_IGCC	5	0.0
C-Coal_IGCC	6	0.0
C-Coal_IGCC	7	0.0
C-Coal_ST	1	1.6919999999999997
C-Coal_ST	2	1.6919999999999997
C-Coal_ST	3	1.6919999999999997
C-Coal_ST	4	1.6919999999999997
C-Coal_ST	5	1.6919999999999997
C-Coal_ST	6	1.6919999999999997
C-Coal_ST	7	0.0
C-NG_CC	1	2.3295483431780193
C-NG_CC	2	1.4758986272439287
C-NG_CC	3	2.3295483431780193
C-NG_CC	4	1.792688489968321
C-NG_CC	5	2.3295483431780193
C-NG_CC	6	2.3295483431780193
C-NG_CC	7	5.655927675607632
C-NG_GT	1	0.0
C-NG_GT	2	0.0
C-NG_GT	3	0.0
C-NG_GT	4	0.0
C-NG_GT	5	0.0
C-NG_GT	6	1.88
C-NG_GT	7	0.0
C-Nuclear	1	0.0
C-Nuclear	2	0.0
C-Nuclear	3	0.0
C-Nuclear	4	0.0
C-Nuclear	5	0.0
C-Nuclear	6	0.0
C-Nuclear	7	0.0
C-Biomass_IGCC	1	0.0
C-Biomass_IGCC	2	0.0
C-Biomass_IGCC	3	0.0
C-Biomass_IGCC	4	0.0
C-Biomass_IGCC	5	0.0
C-Biomass_IGCC	6	0.0
C-Biomass_IGCC	7	0.0
C-Residential_PV	1	0.0
C-Residential_PV	2	0.0
C-Residential_PV	3	0.0
C-Residential_PV	4	0.0
C-Residential_PV	5	0.0
C-Residential_PV	6	0.0
C-Residential_PV	7	0.0
C-Commercial_PV	1	0.0
C-Commercial_PV	2	0.0
C-Commercial_PV	3	0.0
C-Commercial_PV	4	0.0
C-Commercial_PV	5	0.0
C-Commercial_PV	6	0.0
C-Commercial_PV	7	0.0
C-Central_PV-1	1	0.0
C-Central_PV-1	2	0.0
C-Central_PV-1	3	0.0
C-Central_PV-1	4	0.0
C-Central_PV-1	5	0.0
C-Central_PV-1	6	0.0
C-Central_PV-1	7	0.0
C-Central_PV-2	1	0.0
C-Central_PV-2	2	0.0
C-Central_PV-2	3	0.0
C-Central_PV-2	4	0.0
C-Central_PV-2	5	0.0
C-Central_PV-2	6	0.0
C-Central_PV-2	7	0.0
C-Wind-1	1	0.0
C-Wind-1	2	0.0
C-Wind-1	3	0.0
C-Wind-1	4	0.0
C-Wind-1	5	0.0
C-Wind-1	6	0.0
C-Wind-1	7	3.1808
C-Wind-2	1	0.0
C-Wind-2	2	0.0
C-Wind-2	3	0.0
C-Wind-2	4	0.0
C-Wind-2	5	0.0
C-Wind-2	6	0.0
C-Wind-2	7	2.5645199999999995
S-Geothermal	1	2.9057422500000007
S-Geothermal	2	2.9057422500000007
S-Geothermal	3	2.9057422500000007
S-Geothermal	4	2.9057422500000007
S-Geothermal	5	2.9057422500000007
S-Geothermal	6	2.9057422500000007
S-Geothermal	7	2.9057422500000007
S-NG_CC	1	4.127479495414785
S-NG_CC	2	4.486021213569165
S-NG_CC	3	3.9580381090285104
S-NG_CC	4	4.697214455385428
S-NG_CC	5	4.699999999999999
S-NG_CC	6	4.699999999999999
S-NG_CC	7	0.0
S-NG_CC_CCS	1	0.0
S-NG_CC_CCS	2	0.0
S-NG_CC_CCS	3	0.0
S-NG_CC_CCS	4	0.0
S-NG_CC_CCS	5	0.0
S-NG_CC_CCS	6	0.0
S-NG_CC_CCS	7	0.0
S-NG_GT	1	0.0
S-NG_GT	2	0.0
S-NG_GT	3	0.0
S-NG_GT	4	0.0
S-NG_GT	5	0.0
S-NG_GT	6	1.376897344371481
S-NG_GT	7	0.0
S-Biomass_IGCC	1	0.0
S-Biomass_IGCC	2	0.0
S-Biomass_IGCC	3	0.0
S-Biomass_IGCC	4	0.0
S-Biomass_IGCC	5	0.0
S-Biomass_IGCC	6	0.0
S-Biomass_IGCC	7	0.0
S-Biomass_IGCC_CCS	1	0.0
S-Biomass_IGCC_CCS	2	0.0
S-Biomass_IGCC_CCS	3	0.0
S-Biomass_IGCC_CCS	4	0.0
S-Biomass_IGCC_CCS	5	0.0
S-Biomass_IGCC_CCS	6	0.0
S-Biomass_IGCC_CCS	7	0.0
S-Residential_PV	1	0.0
S-Residential_PV	2	0.0
S-Residential_PV	3	0.0
S-Residential_PV	4	0.0
S-Residential_PV	5	0.0
S-Residential_PV	6	0.0
S-Residential_PV	7	0.0
S-Commercial_PV	1	0.0
S-Commercial_PV	2	0.0
S-Commercial_PV	3	0.0
S-Commercial_PV	4	0.0
S-Commercial_PV	5	0.0
S-Commercial_PV	6	0.0
S-Commercial_PV	7	0.0
S-Central_PV-1	1	0.0
S-Central_PV-1	2	0.0
S-Central_PV-1	3	0.0
S-Central_PV-1	4	0.0
S-Central_PV-1	5	0.0
S-Central_PV-1	6	0.0
S-Central_PV-1	7	0.0
S-Central_PV-2	1	0.0
S-Central_PV-2	2	0.0
S-Central_PV-2	3	0.0
S-Central_PV-2	4	0.0
S-Central_PV-2	5	0.0
S-Central_PV-2	6	0.0
S-Central_PV-2	7	0.0
