generation_project,timestamp,DispatchEmissions_tCO2_per_typical_yr,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,gen_dbid,gen_energy_source,gen_load_zone,gen_tech,period,tp_weight_in_year_hrs
N-Coal_IGCC_CCS,2035011512,0.0,0.0,0.0,0.0,N-Coal_IGCC_CCS,Coal,North,Coal_IGCC_CCS,2030,8766.0
N-Coal_ST,2025011500,1593.8457296486397,1.6919999999999997,1.8539988479999998,6303.596083199999,N-Coal_ST,Coal,North,Coal_ST,2020,1095.7440000000001
N-Coal_ST,2025011512,1593.8457296486397,1.6919999999999997,1.8539988479999998,6303.596083199999,N-Coal_ST,Coal,North,Coal_ST,2020,1095.7440000000001
N-Coal_ST,2025011600,1593.8457296486397,1.6919999999999997,1.8539988479999998,6303.596083199999,N-Coal_ST,Coal,North,Coal_ST,2020,1095.7440000000001
N-Coal_ST,2025011612,1593.8457296486397,1.6919999999999997,1.8539988479999998,6303.596083199999,N-Coal_ST,Coal,North,Coal_ST,2020,1095.7440000000001
N-Coal_ST,2025061500,3187.708914239999,1.6919999999999997,3.7080179999999996,12607.261199999997,N-Coal_ST,Coal,North,Coal_ST,2020,2191.5
N-Coal_ST,2025061512,3187.708914239999,1.6919999999999997,3.7080179999999996,12607.261199999997,N-Coal_ST,Coal,North,Coal_ST,2020,2191.5
N-Coal_ST,2035011512,12750.835656959996,1.6919999999999997,14.832071999999998,50429.04479999999,N-Coal_ST,Coal,North,Coal_ST,2030,8766.0
N-NG_CC,2025011500,732.8801826178561,1.88,2.05999872,7030.981631232001,N-NG_CC,NaturalGas,North,NG_CC,2020,1095.7440000000001
N-NG_CC,2025011512,609.4148546115048,1.5632840863252384,1.712959157886362,5846.500901781943,N-NG_CC,NaturalGas,North,NG_CC,2020,1095.7440000000001
N-NG_CC,2025011600,732.8801826178561,1.88,2.05999872,7030.981631232001,N-NG_CC,NaturalGas,North,NG_CC,2020,1095.7440000000001
N-NG_CC,2025011612,691.7442916487171,1.7744773281415003,1.94437288544708,6636.33909531943,N-NG_CC,NaturalGas,North,NG_CC,2020,1095.7440000000001
N-NG_CC,2025061500,1465.768391346,1.88,4.120019999999999,14062.040261999999,N-NG_CC,NaturalGas,North,NG_CC,2020,2191.5
N-NG_CC,2025061512,1465.768391346,1.88,4.120019999999999,14062.040261999999,N-NG_CC,NaturalGas,North,NG_CC,2020,2191.5
N-NG_CC,2035011512,5863.073565384,1.88,16.480079999999997,56248.161047999994,N-NG_CC,NaturalGas,North,NG_CC,2030,8766.0
N-NG_CC_CCS,2025011500,0.0,0.0,0.0,0.0,N-NG_CC_CCS,NaturalGas,North,NG_CC_CCS,2020,1095.7440000000001
N-NG_CC_CCS,2025011512,0.0,0.0,0.0,0.0,N-NG_CC_CCS,NaturalGas,North,NG_CC_CCS,2020,1095.7440000000001
N-NG_CC_CCS,2025011600,0.0,0.0,0.0,0.0,N-NG_CC_CCS,NaturalGas,North,NG_CC_CCS,2020,1095.7440000000001
N-NG_CC_CCS,2025011612,0.0,0.0,0.0,0.0,N-NG_CC_CCS,NaturalGas,North,NG_CC_CCS,2020,1095.7440000000001
N-NG_CC_CCS,2025061500,0.0,0.0,0.0,0.0,N-NG_CC_CCS,NaturalGas,North,NG_CC_CCS,2020,2191.5
N-NG_CC_CCS,2025061512,0.0,0.0,0.0,0.0,N-NG_CC_CCS,NaturalGas,North,NG_CC_CCS,2020,2191.5
N-NG_CC_CCS,2035011512,0.0,0.0,0.0,0.0,N-NG_CC_CCS,NaturalGas,North,NG_CC_CCS,2030,8766.0
N-NG_GT,2025011500,0.0,0.0,0.0,0.0,N-NG_GT,NaturalGas,North,NG_GT,2020,1095.7440000000001
N-NG_GT,2025011512,0.0,0.0,0.0,0.0,N-NG_GT,NaturalGas,North,NG_GT,2020,1095.7440000000001
N-NG_GT,2025011600,0.0,0.0,0.0,0.0,N-NG_GT,NaturalGas,North,NG_GT,2020,1095.7440000000001
N-NG_GT,2025011612,0.0,0.0,0.0,0.0,N-NG_GT,NaturalGas,North,NG_GT,2020,1095.7440000000001
N-NG_GT,2025061500,0.0,0.0,0.0,0.0,N-NG_GT,NaturalGas,North,NG_GT,2020,2191.5
N-NG_GT,2025061512,2168.9078495002886,1.7952165044878576,3.93421696958514,109398.77127325398,N-NG_GT,NaturalGas,North,NG_GT,2020,2191.5
N-NG_GT,2035011512,0.0,0.0,0.0,0.0,N-NG_GT,NaturalGas,North,NG_GT,2030,8766.0
N-Nuclear,2025011500,0.0,0.0,0.0,0.0,N-Nuclear,Uranium,North,Nuclear,2020,1095.7440000000001
N-Nuclear,2025011512,0.0,0.0,0.0,0.0,N-Nuclear,Uranium,North,Nuclear,2020,1095.7440000000001
N-Nuclear,2025011600,0.0,0.0,0.0,0.0,N-Nuclear,Uranium,North,Nuclear,2020,1095.7440000000001
N-Nuclear,2025011612,0.0,0.0,0.0,0.0,N-Nuclear,Uranium,North,Nuclear,2020,1095.7440000000001
N-Nuclear,2025061500,0.0,0.0,0.0,0.0,N-Nuclear,Uranium,North,Nuclear,2020,2191.5
N-Nuclear,2025061512,0.0,0.0,0.0,0.0,N-Nuclear,Uranium,North,Nuclear,2020,2191.5
N-Nuclear,2035011512,0.0,0.0,0.0,0.0,N-Nuclear,Uranium,North,Nuclear,2030,8766.0
N-Biomass_IGCC,2025011500,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2020,1095.7440000000001
N-Biomass_IGCC,2025011512,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2020,1095.7440000000001
N-Biomass_IGCC,2025011600,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2020,1095.7440000000001
N-Biomass_IGCC,2025011612,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2020,1095.7440000000001
N-Biomass_IGCC,2025061500,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2020,2191.5
N-Biomass_IGCC,2025061512,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2020,2191.5
N-Biomass_IGCC,2035011512,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2030,8766.0
N-Biomass_IGCC_CCS,2025011500,-0.0,0.0,0.0,0.0,N-Biomass_IGCC_CCS,BioSolid,North,Biomass_IGCC_CCS,2020,1095.7440000000001
N-Biomass_IGCC_CCS,2025011512,-0.0,0.0,0.0,0.0,N-Biomass_IGCC_CCS,BioSolid,North,Biomass_IGCC_CCS,2020,1095.7440000000001
N-Biomass_IGCC_CCS,2025011600,-0.0,0.0,0.0,0.0,N-Biomass_IGCC_CCS,BioSolid,North,Biomass_IGCC_CCS,2020,1095.7440000000001
N-Biomass_IGCC_CCS,2025011612,-0.0,0.0,0.0,0.0,N-Biomass_IGCC_CCS,BioSolid,North,Biomass_IGCC_CCS,2020,1095.7440000000001
N-Biomass_IGCC_CCS,2025061500,-0.0,0.0,0.0,0.0,N-Biomass_IGCC_CCS,BioSolid,North,Biomass_IGCC_CCS,2020,2191.5
N-Biomass_IGCC_CCS,2025061512,-0.0,0.0,0.0,0.0,N-Biomass_IGCC_CCS,BioSolid,North,Biomass_IGCC_CCS,2020,2191.5
N-Biomass_IGCC_CCS,2035011512,-0.0,0.0,0.0,0.0,N-Biomass_IGCC_CCS,BioSolid,North,Biomass_IGCC_CCS,2030,8766.0
N-Residential_PV,2025011500,,0.0,0.0,0.0,N-Residential_PV,Solar,North,Residential_PV,2020,1095.7440000000001
N-Residential_PV,2025011512,,0.0,0.0,0.0,N-Residential_PV,Solar,North,Residential_PV,2020,1095.7440000000001
N-Residential_PV,2025011600,,0.0,0.0,0.0,N-Residential_PV,Solar,North,Residential_PV,2020,1095.7440000000001
N-Residential_PV,2025011612,,0.0,0.0,0.0,N-Residential_PV,Solar,North,Residential_PV,2020,1095.7440000000001
N-Residential_PV,2025061500,,0.0,0.0,0.0,N-Residential_PV,Solar,North,Residential_PV,2020,2191.5
N-Residential_PV,2025061512,,0.0,0.0,0.0,N-Residential_PV,Solar,North,Residential_PV,2020,2191.5
N-Residential_PV,2035011512,,0.0,0.0,0.0,N-Residential_PV,Solar,North,Residential_PV,2030,8766.0
N-Commercial_PV,2025011500,,0.0,0.0,0.0,N-Commercial_PV,Solar,North,Commercial_PV,2020,1095.7440000000001
N-Commercial_PV,2025011512,,0.0,0.0,0.0,N-Commercial_PV,Solar,North,Commercial_PV,2020,1095.7440000000001
N-Commercial_PV,2025011600,,0.0,0.0,0.0,N-Commercial_PV,Solar,North,Commercial_PV,2020,1095.7440000000001
N-Commercial_PV,2025011612,,0.0,0.0,0.0,N-Commercial_PV,Solar,North,Commercial_PV,2020,1095.7440000000001
N-Commercial_PV,2025061500,,0.0,0.0,0.0,N-Commercial_PV,Solar,North,Commercial_PV,2020,2191.5
N-Commercial_PV,2025061512,,0.0,0.0,0.0,N-Commercial_PV,Solar,North,Commercial_PV,2020,2191.5
N-Commercial_PV,2035011512,,0.0,0.0,0.0,N-Commercial_PV,Solar,North,Commercial_PV,2030,8766.0
N-Central_PV-1,2025011500,,0.0,0.0,0.0,N-Central_PV-1,Solar,North,Central_PV,2020,1095.7440000000001
N-Central_PV-1,2025011512,,0.0,0.0,0.0,N-Central_PV-1,Solar,North,Central_PV,2020,1095.7440000000001
N-Central_PV-1,2025011600,,0.0,0.0,0.0,N-Central_PV-1,Solar,North,Central_PV,2020,1095.7440000000001
N-Central_PV-1,2025011612,,0.0,0.0,0.0,N-Central_PV-1,Solar,North,Central_PV,2020,1095.7440000000001
N-Central_PV-1,2025061500,,0.0,0.0,0.0,N-Central_PV-1,Solar,North,Central_PV,2020,2191.5
N-Central_PV-1,2025061512,,0.0,0.0,0.0,N-Central_PV-1,Solar,North,Central_PV,2020,2191.5
N-Central_PV-1,2035011512,,0.0,0.0,0.0,N-Central_PV-1,Solar,North,Central_PV,2030,8766.0
N-Central_PV-2,2025011500,,0.0,0.0,0.0,N-Central_PV-2,Solar,North,Central_PV,2020,1095.7440000000001
N-Central_PV-2,2025011512,,0.0,0.0,0.0,N-Central_PV-2,Solar,North,Central_PV,2020,1095.7440000000001
N-Central_PV-2,2025011600,,0.0,0.0,0.0,N-Central_PV-2,Solar,North,Central_PV,2020,1095.7440000000001
N-Central_PV-2,2025011612,,0.0,0.0,0.0,N-Central_PV-2,Solar,North,Central_PV,2020,1095.7440000000001
N-Central_PV-2,2025061500,,0.0,0.0,0.0,N-Central_PV-2,Solar,North,Central_PV,2020,2191.5
N-Central_PV-2,2025061512,,0.0,0.0,0.0,N-Central_PV-2,Solar,North,Central_PV,2020,2191.5
N-Central_PV-2,2035011512,,0.0,0.0,0.0,N-Central_PV-2,Solar,North,Central_PV,2030,8766.0
N-Wind-1,2025011500,,0.0,0.0,0.0,N-Wind-1,Wind,North,Wind,2020,1095.7440000000001
N-Wind-1,2025011512,,0.0,0.0,0.0,N-Wind-1,Wind,North,Wind,2020,1095.7440000000001
N-Wind-1,2025011600,,0.0,0.0,0.0,N-Wind-1,Wind,North,Wind,2020,1095.7440000000001
N-Wind-1,2025011612,,0.0,0.0,0.0,N-Wind-1,Wind,North,Wind,2020,1095.7440000000001
N-Wind-1,2025061500,,0.0,0.0,0.0,N-Wind-1,Wind,North,Wind,2020,2191.5
N-Wind-1,2025061512,,0.0,0.0,0.0,N-Wind-1,Wind,North,Wind,2020,2191.5
N-Wind-1,2035011512,,3.1808,27.8828928,0.0,N-Wind-1,Wind,North,Wind,2030,8766.0
N-Wind-2,2025011500,,0.0,0.0,0.0,N-Wind-2,Wind,North,Wind,2020,1095.7440000000001
N-Wind-2,2025011512,,0.0,0.0,0.0,N-Wind-2,Wind,North,Wind,2020,1095.7440000000001
N-Wind-2,2025011600,,0.0,0.0,0.0,N-Wind-2,Wind,North,Wind,2020,1095.7440000000001
N-Wind-2,2025011612,,0.0,0.0,0.0,N-Wind-2,Wind,North,Wind,2020,1095.7440000000001
N-Wind-2,2025061500,,0.0,0.0,0.0,N-Wind-2,Wind,North,Wind,2020,2191.5
N-Wind-2,2025061512,,0.0,0.0,0.0,N-Wind-2,Wind,North,Wind,2020,2191.5
N-Wind-2,2035011512,,0.86478,7.58066148,0.0,N-Wind-2,Wind,North,Wind,2030,8766.0
C-Coal_IGCC,2025011500,0.0,0.0,0.0,0.0,C-Coal_IGCC,Coal,Central,Coal_IGCC,2020,1095.7440000000001
C-Coal_IGCC,2025011512,0.0,0.0,0.0,0.0,C-Coal_IGCC,Coal,Central,Coal_IGCC,2020,1095.7440000000001
C-Coal_IGCC,2025011600,0.0,0.0,0.0,0.0,C-Coal_IGCC,Coal,Central,Coal_IGCC,2020,1095.7440000000001
C-Coal_IGCC,2025011612,0.0,0.0,0.0,0.0,C-Coal_IGCC,Coal,Central,Coal_IGCC,2020,1095.7440000000001
C-Coal_IGCC,2025061500,0.0,0.0,0.0,0.0,C-Coal_IGCC,Coal,Central,Coal_IGCC,2020,2191.5
C-Coal_IGCC,2025061512,0.0,0.0,0.0,0.0,C-Coal_IGCC,Coal,Central,Coal_IGCC,2020,2191.5
C-Coal_IGCC,2035011512,5389.3130125824,0.8096,7.0969536,34532.07294873599,C-Coal_IGCC,Coal,Central,Coal_IGCC,2030,8766.0
C-Coal_ST,2025011500,1682.3927146291198,1.6919999999999997,1.8539988479999998,6674.3958528,C-Coal_ST,Coal,Central,Coal_ST,2020,1095.7440000000001
C-Coal_ST,2025011512,1682.3927146291198,1.6919999999999997,1.8539988479999998,6674.3958528,C-Coal_ST,Coal,Central,Coal_ST,2020,1095.7440000000001
C-Coal_ST,2025011600,1682.3927146291198,1.6919999999999997,1.8539988479999998,6674.3958528,C-Coal_ST,Coal,Central,Coal_ST,2020,1095.7440000000001
C-Coal_ST,2025011612,1682.3927146291198,1.6919999999999997,1.8539988479999998,6674.3958528,C-Coal_ST,Coal,Central,Coal_ST,2020,1095.7440000000001
C-Coal_ST,2025061500,3364.8038539199993,1.6919999999999997,3.7080179999999996,13348.8648,C-Coal_ST,Coal,Central,Coal_ST,2020,2191.5
C-Coal_ST,2025061512,3364.8038539199993,1.6919999999999997,3.7080179999999996,13348.8648,C-Coal_ST,Coal,Central,Coal_ST,2020,2191.5
C-Coal_ST,2035011512,0.0,0.0,0.0,0.0,C-Coal_ST,Coal,Central,Coal_ST,2030,8766.0
C-NG_CC,2025011500,732.8801826178561,1.88,2.05999872,5624.7853049856,C-NG_CC,NaturalGas,Central,NG_CC,2020,1095.7440000000001
C-NG_CC,2025011512,575.3493912021136,1.4758986272439287,1.6172070654107715,4415.751547962804,C-NG_CC,NaturalGas,Central,NG_CC,2020,1095.7440000000001
C-NG_CC,2025011600,732.8801826178561,1.88,2.05999872,5624.7853049856,C-NG_CC,NaturalGas,Central,NG_CC,2020,1095.7440000000001
C-NG_CC,2025011612,698.8435467579318,1.792688489968321,1.9643276567518482,5363.557380207787,C-NG_CC,NaturalGas,Central,NG_CC,2020,1095.7440000000001
C-NG_CC,2025061500,1465.768391346,1.88,4.120019999999999,11249.632209599999,C-NG_CC,NaturalGas,Central,NG_CC,2020,2191.5
C-NG_CC,2025061512,1465.768391346,1.88,4.120019999999999,11249.632209599999,C-NG_CC,NaturalGas,Central,NG_CC,2020,2191.5
C-NG_CC,2035011512,2931.536782692,0.94,8.240039999999999,22499.264419199997,C-NG_CC,NaturalGas,Central,NG_CC,2030,8766.0
C-NG_GT,2025011500,0.0,0.0,0.0,0.0,C-NG_GT,NaturalGas,Central,NG_GT,2020,1095.7440000000001
C-NG_GT,2025011512,0.0,0.0,0.0,0.0,C-NG_GT,NaturalGas,Central,NG_GT,2020,1095.7440000000001
C-NG_GT,2025011600,0.0,0.0,0.0,0.0,C-NG_GT,NaturalGas,Central,NG_GT,2020,1095.7440000000001
C-NG_GT,2025011612,0.0,0.0,0.0,0.0,C-NG_GT,NaturalGas,Central,NG_GT,2020,1095.7440000000001
C-NG_GT,2025061500,226.62975900165574,0.1875826508081545,0.4110873792460706,9144.885403756389,C-NG_GT,NaturalGas,Central,NG_GT,2020,2191.5
C-NG_GT,2025061512,2271.339833868,1.88,4.120019999999999,91652.316912,C-NG_GT,NaturalGas,Central,NG_GT,2020,2191.5
C-NG_GT,2035011512,0.0,0.0,0.0,0.0,C-NG_GT,NaturalGas,Central,NG_GT,2030,8766.0
C-Nuclear,2025011500,0.0,0.0,0.0,0.0,C-Nuclear,Uranium,Central,Nuclear,2020,1095.7440000000001
C-Nuclear,2025011512,0.0,0.0,0.0,0.0,C-Nuclear,Uranium,Central,Nuclear,2020,1095.7440000000001
C-Nuclear,2025011600,0.0,0.0,0.0,0.0,C-Nuclear,Uranium,Central,Nuclear,2020,1095.7440000000001
C-Nuclear,2025011612,0.0,0.0,0.0,0.0,C-Nuclear,Uranium,Central,Nuclear,2020,1095.7440000000001
C-Nuclear,2025061500,0.0,0.0,0.0,0.0,C-Nuclear,Uranium,Central,Nuclear,2020,2191.5
C-Nuclear,2025061512,0.0,0.0,0.0,0.0,C-Nuclear,Uranium,Central,Nuclear,2020,2191.5
C-Nuclear,2035011512,0.0,0.0,0.0,0.0,C-Nuclear,Uranium,Central,Nuclear,2030,8766.0
C-Biomass_IGCC,2025011500,0.0,0.0,0.0,0.0,C-Biomass_IGCC,BioSolid,Central,Biomass_IGCC,2020,1095.7440000000001
C-Biomass_IGCC,2025011512,0.0,0.0,0.0,0.0,C-Biomass_IGCC,BioSolid,Central,Biomass_IGCC,2020,1095.7440000000001
C-Biomass_IGCC,2025011600,0.0,0.0,0.0,0.0,C-Biomass_IGCC,BioSolid,Central,Biomass_IGCC,2020,1095.7440000000001
C-Biomass_IGCC,2025011612,0.0,0.0,0.0,0.0,C-Biomass_IGCC,BioSolid,Central,Biomass_IGCC,2020,1095.7440000000001
C-Biomass_IGCC,2025061500,0.0,0.0,0.0,0.0,C-Biomass_IGCC,BioSolid,Central,Biomass_IGCC,2020,2191.5
C-Biomass_IGCC,2025061512,0.0,0.0,0.0,0.0,C-Biomass_IGCC,BioSolid,Central,Biomass_IGCC,2020,2191.5
C-Biomass_IGCC,2035011512,0.0,0.0,0.0,0.0,C-Biomass_IGCC,BioSolid,Central,Biomass_IGCC,2030,8766.0
C-Residential_PV,2025011500,,0.0,0.0,0.0,C-Residential_PV,Solar,Central,Residential_PV,2020,1095.7440000000001
C-Residential_PV,2025011512,,0.0,0.0,0.0,C-Residential_PV,Solar,Central,Residential_PV,2020,1095.7440000000001
C-Residential_PV,2025011600,,0.0,0.0,0.0,C-Residential_PV,Solar,Central,Residential_PV,2020,1095.7440000000001
C-Residential_PV,2025011612,,0.0,0.0,0.0,C-Residential_PV,Solar,Central,Residential_PV,2020,1095.7440000000001
C-Residential_PV,2025061500,,0.0,0.0,0.0,C-Residential_PV,Solar,Central,Residential_PV,2020,2191.5
C-Residential_PV,2025061512,,0.0,0.0,0.0,C-Residential_PV,Solar,Central,Residential_PV,2020,2191.5
C-Residential_PV,2035011512,,0.0,0.0,0.0,C-Residential_PV,Solar,Central,Residential_PV,2030,8766.0
C-Commercial_PV,2025011500,,0.0,0.0,0.0,C-Commercial_PV,Solar,Central,Commercial_PV,2020,1095.7440000000001
C-Commercial_PV,2025011512,,0.0,0.0,0.0,C-Commercial_PV,Solar,Central,Commercial_PV,2020,1095.7440000000001
C-Commercial_PV,2025011600,,0.0,0.0,0.0,C-Commercial_PV,Solar,Central,Commercial_PV,2020,1095.7440000000001
C-Commercial_PV,2025011612,,0.0,0.0,0.0,C-Commercial_PV,Solar,Central,Commercial_PV,2020,1095.7440000000001
C-Commercial_PV,2025061500,,0.0,0.0,0.0,C-Commercial_PV,Solar,Central,Commercial_PV,2020,2191.5
C-Commercial_PV,2025061512,,0.0,0.0,0.0,C-Commercial_PV,Solar,Central,Commercial_PV,2020,2191.5
C-Commercial_PV,2035011512,,0.2168766312992878,1.9011405499695568,0.0,C-Commercial_PV,Solar,Central,Commercial_PV,2030,8766.0
C-Central_PV-1,2025011500,,0.0,0.0,0.0,C-Central_PV-1,Solar,Central,Central_PV,2020,1095.7440000000001
C-Central_PV-1,2025011512,,0.0,0.0,0.0,C-Central_PV-1,Solar,Central,Central_PV,2020,1095.7440000000001
C-Central_PV-1,2025011600,,0.0,0.0,0.0,C-Central_PV-1,Solar,Central,Central_PV,2020,1095.7440000000001
C-Central_PV-1,2025011612,,0.0,0.0,0.0,C-Central_PV-1,Solar,Central,Central_PV,2020,1095.7440000000001
C-Central_PV-1,2025061500,,0.0,0.0,0.0,C-Central_PV-1,Solar,Central,Central_PV,2020,2191.5
C-Central_PV-1,2025061512,,0.0,0.0,0.0,C-Central_PV-1,Solar,Central,Central_PV,2020,2191.5
C-Central_PV-1,2035011512,,0.7644,6.700730399999999,0.0,C-Central_PV-1,Solar,Central,Central_PV,2030,8766.0
C-Central_PV-2,2025011500,,0.0,0.0,0.0,C-Central_PV-2,Solar,Central,Central_PV,2020,1095.7440000000001
C-Central_PV-2,2025011512,,0.0,0.0,0.0,C-Central_PV-2,Solar,Central,Central_PV,2020,1095.7440000000001
C-Central_PV-2,2025011600,,0.0,0.0,0.0,C-Central_PV-2,Solar,Central,Central_PV,2020,1095.7440000000001
C-Central_PV-2,2025011612,,0.0,0.0,0.0,C-Central_PV-2,Solar,Central,Central_PV,2020,1095.7440000000001
C-Central_PV-2,2025061500,,0.0,0.0,0.0,C-Central_PV-2,Solar,Central,Central_PV,2020,2191.5
C-Central_PV-2,2025061512,,0.0,0.0,0.0,C-Central_PV-2,Solar,Central,Central_PV,2020,2191.5
C-Central_PV-2,2035011512,,1.2054,10.5665364,0.0,C-Central_PV-2,Solar,Central,Central_PV,2030,8766.0
C-Wind-1,2025011500,,0.0,0.0,0.0,C-Wind-1,Wind,Central,Wind,2020,1095.7440000000001
C-Wind-1,2025011512,,0.0,0.0,0.0,C-Wind-1,Wind,Central,Wind,2020,1095.7440000000001
C-Wind-1,2025011600,,0.0,0.0,0.0,C-Wind-1,Wind,Central,Wind,2020,1095.7440000000001
C-Wind-1,2025011612,,0.0,0.0,0.0,C-Wind-1,Wind,Central,Wind,2020,1095.7440000000001
C-Wind-1,2025061500,,0.0,0.0,0.0,C-Wind-1,Wind,Central,Wind,2020,2191.5
C-Wind-1,2025061512,,0.0,0.0,0.0,C-Wind-1,Wind,Central,Wind,2020,2191.5
C-Wind-1,2035011512,,3.1808,27.8828928,0.0,C-Wind-1,Wind,Central,Wind,2030,8766.0
C-Wind-2,2025011500,,0.0,0.0,0.0,C-Wind-2,Wind,Central,Wind,2020,1095.7440000000001
C-Wind-2,2025011512,,0.0,0.0,0.0,C-Wind-2,Wind,Central,Wind,2020,1095.7440000000001
C-Wind-2,2025011600,,0.0,0.0,0.0,C-Wind-2,Wind,Central,Wind,2020,1095.7440000000001
C-Wind-2,2025011612,,0.0,0.0,0.0,C-Wind-2,Wind,Central,Wind,2020,1095.7440000000001
C-Wind-2,2025061500,,0.0,0.0,0.0,C-Wind-2,Wind,Central,Wind,2020,2191.5
C-Wind-2,2025061512,,0.0,0.0,0.0,C-Wind-2,Wind,Central,Wind,2020,2191.5
C-Wind-2,2035011512,,2.5645199999999995,22.480582319999996,0.0,C-Wind-2,Wind,Central,Wind,2030,8766.0
S-Geothermal,2025011500,,2.9057422500000007,3.183949635984001,110151.9216065025,S-Geothermal,Geothermal,South,Geothermal,2020,1095.7440000000001
S-Geothermal,2025011512,,2.9057422500000007,3.183949635984001,110151.9216065025,S-Geothermal,Geothermal,South,Geothermal,2020,1095.7440000000001
S-Geothermal,2025011600,,2.9057422500000007,3.183949635984001,110151.9216065025,S-Geothermal,Geothermal,South,Geothermal,2020,1095.7440000000001
S-Geothermal,2025011612,,2.9057422500000007,3.183949635984001,110151.9216065025,S-Geothermal,Geothermal,South,Geothermal,2020,1095.7440000000001
S-Geothermal,2025061500,,2.9057422500000007,6.367934140875001,220305.04953771154,S-Geothermal,Geothermal,South,Geothermal,2020,2191.5
S-Geothermal,2025061512,,2.9057422500000007,6.367934140875001,220305.04953771154,S-Geothermal,Geothermal,South,Geothermal,2020,2191.5
S-Geothermal,2035011512,,2.9057422500000007,25.471736563500006,881220.1981508462,S-Geothermal,Geothermal,South,Geothermal,2030,8766.0
S-NG_CC,2025011500,1795.4482359743342,4.605722413689274,5.04669270046554,20669.840227150722,S-NG_CC,NaturalGas,South,NG_CC,2020,1095.7440000000001
